Text,Sentiment (POS/NEG/NEU)
iska kya nam h?,Neutral
..model ha yah ladka,Neutral
Wo itna payara to nhi,Negative
Fazool larka or acting bhi,Negative
seriol kis din aata hy,Neutral
time bta skty hai.,Neutral
Pic wali ko kam khiliya kro yar,Neutral
Sorry!Ab bilkul bhi acha ni he,Negative
Kon sa ziada acha hai,Neutral
is ko b Eik din baad upload kiya kero na baqi dramaoo ki tarha .,Neutral
Idher band baji hoi hoti hA ispr ki waja sy .,Negative
Yes bilkul boht shoq sy ye drama dekha,Positive
sary apisode but rat wali apisode k bad andaza ho gya koi khas them nhi ha,Negative
koi story nhi ha bas pagl bnaya hoa logn ko,Negative
Start m Acha tha,Positive
bt ab wohiii puraniii story,Negative
overacting shoru ho ho gai,Negative
Kal mene first time 1 episode dekha,Neutral
bht acha tha aur saray episode dekhay sara din,Positive
aj b episode dekha outstanding drama,Positive
Acha hai lekin abhi kch khass story nh bn rhi h,Neutral
Kia drama ki baat he,Neutral
Aj ni dekh ski,Neutral
you tube py dekh lo,Neutral
shukria btane ka mje tu pta hi ni tha,Neutral
Ky naam h is serial k,Neutral
Ksy kam ka ni drama kahan alfa bravo charli kahan ye fazool sa,Negative
ispr ka lag he nhi raha .. lame joke .. over acting,Negative
logo se wohi hazam nh horhe,Neutral
or Kia hota esa jis sy tm impress hoti,Neutral
azool bana dea drama over acting hr bundy ki,Negative
kitna mazay ka to hai,Positive
mjhe ye 4ro dst bht acchy lgty hai.,Positive
Timing kiya hy is dramy ki,Neutral
kash mai bhi dekh sakta,Neutral
Mujhy bahout Shoq hai Darama Series me kaam krny ka,Neutral
Apna adrees bhej day,Neutral
kamal hi kr diya,Positive
Aa hi nahi raha drama live,Neutral
darma main ab maza nae raha,Negative
Ab to khtm hony wala ho ga,Neutral
Yeh badla le rha hai anna sy,Neutral
kis bat ka bdla?,Neutral
Yehi tou sari story hai aur suspense hai,Neutral
.is bandy ka attitude .level ha,Positive
Main to derama daikhti hi nai,Negative
Dosto ko to na lrvaty,Neutral
Sab larki ki waja say hua,Neutral
Mention karoun usay yahan,Neutral
short story koi bata sakta,Neutral
kuch logo ko smj e ni smjaana prta hy,Neutral
sorry bro mujhe yad nahin,Neutral
Ya bhe glat suna zaroor nahe ya bhe,Neutral
ni mai wese hi kh raha,Neutral
Hum jaisa koi nahi,Positive
apki team ko bhi eid mubarik,Positive
eidi b den naaaa,Neutral
Free ho gya hai search kro,Neutral
logo bara hona chaiye,Neutral
Paksat pe chalao Bhai plz,Neutral
Chal gya hai bhai search kro . . .,Neutral
Aj karonga search,Neutral
tamam muslmano ku bhut bhut eid mubarik,Positive
Ab itna maza nh h hum mn,Negative
Nice ap ko Allha pak both ajir de,Positive
Tum sath ho ya na ho kia faraq he,Neutral
pata nae kon se setlite pe bhej diya,Neutral
1saal ho gaya nahe dekha hm tv itne shok se dekhte the.,Neutral
10 saal se ek he jagha ho agy be neklo hum,Neutral
Larki dosti kharb krti hai,Negative
story tuo bulkul meri zindagi ki story hay same,Neutral
kia reality me bhi aise hota he,Neutral
bekar chnl hai dafa kr.,Negative
Wà'aqeehi ham jaisa koi nahi,Positive
anada me kio bnd ho gya hum tv...plz koi to bta do,Neutral
app ka pehley wala logo bhut acha tha ye acha nahi hai..,Negative
plz hum network paksat pe move krein,Neutral
naya wala bhe bht acha bal k naya chnge bht bht acha hai,Positive
bhai aap ka channel ek maah se yahan ukkur city me band hain aap plz wo open karwaen,Neutral
mai hum tv k dramo ka hissa banna hy,Neutral
Pehla asha tha colorfull black tu ajeeb sa feel hota hy.,Negative
sada rotay raho gay tumhay badua hay,Negative
Phly ki tarah karo ya black nai sahi lg rha,Negative
Bewaqoofana Batain Apnay Ghar Mai Jaa Kar Kiya Karo!!,Negative
Ab acha lag raha ha nice colour,Positive
Black q hua hai?,Neutral
Ijtamai tuba ki zarorat hai,Neutral
Allah un sb ko hdayt de.,Positive
Hum sab b sath hn,Neutral
Idhr kya hoooo rha ha hm???,Neutral
100 time lakh di lanat to hum tv for removing their channels from asia sat 3s,Negative
Hum network ko mpeg2 per bhe dal diya jaye to kia bt hai.,Neutral
admin koi link btao jahan ' zindgai gulzar hai ' ki full videos aik sath mill jayn .pleej,Neutral
drama k link bta dain jhan cmplt video mil jay.admin,Neutral
koi mujhe bta de ham kon c satlite pe chl rahe hain,Neutral
ham tv kon c satlite pe chley gai hain,Neutral
hm chennal ki team ko hmari taraf se ramazan mubarak. Allah sb ki pershaniya door kre. Ameen,Positive
"Yeh kasa ,change ha bahi,?",Neutral
Nice bt pehly vala zayada acha thaa,Neutral
ye drama dekhna kbi,Neutral
Saheee baat hai hum jeisa koi nahi . 3rd class boriyat dene mein.,Negative
"Pakistanio ka Allah he hafiz hy, ik channel k name ko like ker rhy hyn, or koi kaam raha nhi hmari quom ko",Neutral
Azadi ka din mubarik ho.,Positive
"Yeh watan humara hai , is ko hum ne hi saf rakhna hai,",Neutral
muje daramen banany ka shuk hai lekin main ja nahi sakta,Neutral
HUM Tv India mei kyo nhi aata ????,Neutral
Mujy koi khas frq ni lg rha,Neutral
Jago Pakistan program ka reptng time kia h,Neutral
aj k program KB RPT HP ga tell me,Neutral
Ye blck nd wite q ki hy pic????,Neutral
Such me ab to hum or ap e sath reh gae baqi to koi rha nhi ,Neutral
ap logo ne muje bhoot samaj lia tha kia?,Neutral
aj show q nhe chal jago pakistan jago.,Neutral
Hum ki bat pasnd indian program nh deti apne deti h,Positive
Eid pa apni Pakistani film lagn ka bja Indian film or show lag dia,Negative
kay humire apni film or show nhi ha,Neutral
ap ki nashriat saf kun nahi ati h,Neutral
kiya hoga is se,Neutral
Koi kuch bolta q nai,Neutral
Page asli b h ya ni,Neutral
Afsos k itna bra channel aur ramzan ke transmission he koi nhi,Negative
Acha he par ramadan transmission hona chahiya tha.,Neutral
man buhut miss kar rahi hon hum tv ki trans mishion ko,Neutral
ramzan mubarak ho ap ki pori team ko,Neutral
aalah taala hamara mul ko apni hifzo aman main rakhay aamen,Positive
Ap ne kha hum ne sun leya,Neutral
Lo g hum bhe khte hn khair Mubarak,Positive
bus inhoo ma 1 problem ha k ya boht zyada break dety hain,Negative
iss channel k dramas ki stories boht axi Hoti ha,Positive
Ap hum tv ka konsa serial dakhten ha,Neutral
Ye kia August khtm ho gya profile pix change kr di...???,Neutral
ALLAH hmare pakistan ko salamt rkhe hmesha ameen.,Positive
Lo b Pakistanion ki to tyarian shuru ho gain,Neutral
Murda dill logon kuch sikho Pakistan se... Sikho..,Neutral
May bohat like karta ho ap ka channel,Positive
mukammal teem ko bhi eid ki khushya mubark,Positive
Hum ki koi post show nhi hoti qun ...,Neutral
price b sat mention kia kary,Neutral
Ap k pic ly kr log fraud kr rahe hain,Neutral
Jb lene jaen ge to ho ga hi nae out of stock ho chuka ho ga as usual,Negative
Jee bilkul saba mere sath bhe fraud ho choka ha,Negative
Bola ek dresse lo ek free,Neutral
",mjh cheez ek dekhae gae ,di dosrri gae ,aisi cheezen di gae jo faqeer bhi na pahne",Negative
hamare sth b yehi hua h 5000 le kr gareebo jse suit diye hn,Negative
unko report kardo plzz,Neutral
ye rehte thy hme kharab krne k liye,Negative
1 lack ka hoga,Neutral
Agha noor par koi sale chal rahi ha?,Neutral
Ake page ha wo agha noor ka nam use kar raha aur dress bi in ka dikha raha,Neutral
1 suite ki price 2999 offer kar raha i think they are fake.,Negative
Ji mai ny b daikha ay fb pr fake ay stupid iny koi pochna wala ni,Negative
I like it merry liye le lo,Neutral
jee samjho lay lya or tum ko bhaij b dye,Neutral
itni smjhdar nai Hun mein,Neutral
lol tabhi to aisay comments ker rahi ho,Neutral
8000 wala ha kya es m,Neutral
bus ye chahye ab tou,Neutral
"o last year 5000 ki range m thy wo sb 18000,20000 k kr diye ha",Neutral
"copycat ,ye khadi ka design hay",Negative
stff kon sa ha.,Neutral
Ap k store pe jao to khuc milta n hy online kya khak milna,Negative
tum ni thaki online shopping se,Neutral
pta chly to 2 ly lena,Neutral
abe bhol gain kiaaa?,Neutral
ye to web p nhi h,Neutral
muft ap k liyay,Neutral
ye khan s milay ge,Neutral
Jab hum giga jatay hain to yay sab nahi hotaa,Neutral
ye gift KR Dy mjhy,Neutral
Yeh theak lgrhi hai? Yehi bnwaya tha same mene,Neutral
Mera is se acha lgrha hai,Positive
Ye jst shirt ha kia....dupattA?,Neutral
Tum ne kia krna hai..,Neutral
mjhe ek acha suit chahye...shadi k lye,Neutral
Tm pasand kro jo acha lagy lelo..,Neutral
ahan to sare ache lag rahe hn...pr jab aenge to..,Positive
AP k out let Multan men h??,Neutral
sir wasy hi acha laga,Neutral
Peshawar PC ma app ka exhibition ma Chand design ka shirts tha .ya Post Wala khapray app sirf Karachi ma rakhta hai.,Neutral
Jo page PE mention hoty designs vo outlets men available hi nhi hotay,Negative
Dolmen mall tariq road pa ap ka outlet Har konsa floor par,Neutral
mujhe purple wala online nai nazr arha hy,Negative
Out let pae b ye rakh lia karen,Neutral
lgta hai Agha noor ka designer n models dono bhaag gaye hain,Neutral
Ye identical nahi hehe. Ye thora different hai,Neutral
sub se left waali ko dekho,Neutral
Miss hogaya jana pata hi nai tha,Neutral
Kiya order p milty hean kiya price ha,Neutral
yh b achy lg rhy,Positive
Kb aegi yeh collection ??,Neutral
pink wala acha hy,Positive
price ka idea ha chachi... online tu nai ha site pa ye dress,Neutral
ekh k btati hon hogi wrna poch ly gy,Neutral
mje lag raha ha expancive hu ga,Neutral
itne ma ap bridal he le len bhai,Neutral
colors tu Baji ki shadi wale time k hein,Neutral
Online milein gy ya outlet per or kub?,Neutral
karachi nikalte hain,Neutral
nayab ko bhi lai ana main lahore he hon yahi sai airport,Neutral
private jet pe jana wapis aien tu hi ja sakte,Neutral
ye bht acha collection aya hai,Positive
online show hi nhi hu ra Instagram pr b,Negative
Mujhai bhi agha noor bohat pasand hai bus nae chaltai Sarai lai loon,Positive
filhal Karachi Lahore patta nahi kab Ana hai.,Neutral
Bs b krdo coming soon. Ab to thak gay hain ye pic daikh daikh k 3 month s,Negative
Ya coming soon kab khatam ho ga,Neutral
Ye kb launch ho ga plz,Neutral
kbhi sale bhi de diya kren online,Neutral
Ya sab tu theek hy,Positive
Rukhi sookhi celebration jeyea hum ni bat krty ap sy,Negative
Ye sirf shirts hn ya complete suit,Neutral
Acha nahi laga,Negative
sale bhi to lgti ha kb lge gi,Neutral
Pant bhi sath men banwalen please,Neutral
Nice lag raha hai,Positive
yar leti b hu bt Kuch Acha lgy to,Neutral
Price hi pochti k lyti b hn,Neutral
Sari facilities or outstanding kurties style sirf london walo ka lia hota Pakistan walo ka lia nahi ..,Negative
Her shirt pe lekha he Out of stock...ya kia mazaq he...fazol mn online start kia he...(tum se na ho paiy ga,Negative
in shaa Allah zaroor Ager gye tw,Positive
OMG tooooo gud yaaaar ye to zbrdst hain.,Positive
ye dekho velvet ke shirts... jab ham nay lay lee tou unko yaad aa gaya,Neutral
Agr sb kch out of stock hta ha to uski website ya fb pe pics dny ki kya zrort ha,Negative
Koi or dezine hn in ma,Neutral
Blu wala fit h naa,Positive
Online ap ki valvet collection show nahee ho rahee,Negative
man na ak dress lya ha last weak but us time ya nhe tha,Neutral
Mujy kounsi pori aygi...,Neutral
chlo tm lahore ka tour karo,Neutral
Mein pahly he dakh chuka hu.,Neutral
mujhy lga kaho gy ly bho chuky ho,Neutral
han yr main kal sy isy e daikh rae,Neutral
London ki sale Pakistan ma lagai ap na?,Neutral
Jb hm agha noor ke kese b store p chaly jai waha y sb shrts to hoti he nai h,Negative
mjhy yh peach wala lena,Neutral
Online order kro to milta hi nai phone b nai uthate,Negative
Agha noor Gujranwala mai bi branch honi chahiy,Neutral
Chlo phr London chalain,Neutral
London waly enjoy karn or jis zamin k.padawar han wwoh roti hi rahy,Negative
Pak main b sale hy ?,Neutral
apk ilakay main b sale agha noor py,Neutral
Bhen london me lagi a,Neutral
aray london walo ko kya zaroorat ha 25% ki,Neutral
Yahan double price hai tu zaroort tu hai,Neutral
kb sale hai ko si date ko,Neutral
Mujy b jana hai,Neutral
ab kahan sy aoo yaara,Neutral
sale london mei hai beta,Neutral
Rukhoo dhodti ho Kidher hy yahan,Neutral
bas kal jati hun,Neutral
Lai ayo mere leye,Neutral
bs kr larki bs krr,Neutral
black reh gaya hai abhi,Neutral
black koi b naeeee mere paas,Negative
ye door hai thorha,Neutral
mujhe pasand nahi yar agha noor yaar.,Negative
bohat ziada bhari hui shirts hoti hen,Neutral
Aur tissue type kaprha usually hota hai.,Neutral
bilkul bhi pasand nahi mujhe.,Negative
Khaadi aur Ethnic waghaira k pasand hen mujhe.,Positive
bohat expensive hain per fabric and designs Aalaa....,Neutral
aaj waseem nay mjhay ethnic ki hi aik shirt gift ki hay... pehan k dikahongi,Neutral
na karen itnay khoobsurat kapray hayn agha noor k sab se alag,Positive
nahi pasand yaar mujhe....,Negative
meri friend ne wo top Ethnic ka hee pehna hua hai Pix me.... bohat decent,Positive
plz koi Bata dya k agha noor k brand Islamabad ma Khan hn??,Neutral
Iski length btaa de plz,Neutral
Ab hoga qayamat ka sama,Negative
Api ap ko yahan se bhaijh daitay hain,Neutral
ap ko abhi bhi aur kapray chaiyay hain. Waisay ap ka nahin banta yeh sawal karna,Neutral
joo hukum app kaa,Neutral
London walay bhi sale ka wait krty hain sirf hum ni,Neutral
Yahn q nahi lagti bhayee,Neutral
Karachi walon ne Kya bigara h,Neutral
Yaha bhi Lagti h,Neutral
Pakistan m lgaty ni sale,Negative
Waha jesy zada aziz bythy hn ink,Neutral
Sale main b itna exp hona hai na k bas,Negative
jo lerkiyan sell Kerti hein woh loot rahi hein,Negative
zahir hai wo ladies khwari ker ke lines me lagti hun gi purchase kerne ke lie,Neutral
wo agey phir apna profit rakh ke sell kerti,Neutral
Lo bhai mujhey laga lo line mein phir but profit chore do,Neutral
phir say ho aao,Neutral
Nahi nahi or nahi kitni wrong timing thi mri.,Negative
Waqi main bhe yehe soch rahi thee,Neutral
Han Khaadi waley bhi kehtey last week sale khatam ki hay.,Neutral
Pak mai b sale lga dain kbi,Neutral
Ma yh kurta online order krna chahti hun,Neutral
Subha subha mazak achay karti ho.,Positive
Wese hen yeh mere ghar k pass he.,Neutral
ni bnda kbi gift hi day deta hai,Neutral
jhoota khanay se b barhti he. Me adha pizza kha k tumhe aur usman ko bhej doonga,Neutral
Tabdeeli aa ni rahi. Aaaa gai hen,Neutral
ft day k tabdeeli ka saboot do,Neutral
abb aii he thori si,Neutral
stratford bohat dor hain meray ghar say.,Negative
Online hota to mangwa layty,Neutral
Us main kch bachay ga to khareedoon gi na,Neutral
Ho bhi gai ajj tu 8 hai na,Neutral
Lo ye to mne dkha he ni,Neutral
Meray liye bhi lalana,Neutral
mai gai thi kuch khas the tah,Neutral
Jab good stuff ja chuka tah,Negative
acha sale main asa he karty hain yeh loog,Neutral
Sara purana stock,Negative
Ji han ap ne jitni kurtian pakistan se li hein to yahan purana hi lage ga na,Neutral
Saba mere hatho zaya hu jana AP na,Negative
Yar bus pocha hi hai,Neutral
Ni pata bata da ap,Neutral
Nai pochti price yar maf kur do,Neutral
Tum nhi badlo gay,Neutral
deliver ho ja ga,Neutral
Tere pas paise to ha nahi. Kahan se le ge. Awain price poch rahi hai,Negative
Messege p koi respond nh krta,Negative
Farigh hai,Negative
Khamosh ho gay,Neutral
Eid kay lye lana ha,Neutral
Ge nahi zaberdest ha,Positive
Nahi ye ho nahi sakta...,Negative
Front wali shirt available ha extra large main?,Neutral
Bibi tu sara kuch buy kr k hi haata gi,Neutral
mujhe ye right wala gft krdo,Neutral
Aisa kro dono lelo ek mujhe dena or ek khud Lena,Neutral
Acha to phir order krun ?,Neutral
Hydrebad my koi out let h apka to kindly btay,Neutral
main aksar jo b artical ki pic ja k dekhati hn they its sold out,Negative
yeh lay lo,Neutral
Ok. Abhi jaon ya Subah ka intezar ker loon ?,Neutral
Abi hu jata tu acha tha waisy,Neutral
Yeh bhi ab mein bataon,Neutral
Wese suit acha hai..,Neutral
Bhai bht acha hy ,Positive
sarwat ny store sy leny nae dia,Neutral
Karo karo.. top suit hai. Sarwat ki aisi ki tesi..,Neutral
ya tu bht old hai,Negative
Mene inbox kya h,Neutral
Celebration to ho gai ... mubarakan bi ho gai,Positive
please bata dw ke Lahore mein sale kab hai,Neutral
Inbox krne ko kaha h unhu ne,Neutral
Congeactulations aga Noor apko apni anniversary py discount Dena chahye taky aplog din raat taraqi kary,Positive
bhai ko b pasand h agha noor,Positive
Kuch nhe milny wla ja kamm kr apna moti,Negative
agha noor walo ny parha ho na ho mra comment,Neutral
.tu ny parh lya fariq log,Negative
Ye kutey k bachey kabhi announce ni karenge winners inka page report karwana ha in manhoos agha noor walon ka,Negative
Congrats agha noor happy brthday allha pak din dogni rat chogni trai day ameen,Positive
Yar ap log kub announce karenge birthday wishes k winners,Neutral
Yar ap log kub announce karenge birthday wishes k winners,Neutral
Ap na birthday pa sale lagane ki bajaye rate ziada Kar dye han,Negative
eid ki new collection kab aaye gi.,Neutral
ye agha noor london b pohanch gya,Neutral
wese abhi kafi stock para hy meri wardrobe mai,Neutral
Agha noor ki koi new colection agr ksi n shop ki h to plz share,Neutral
dr islmbad ma bi sale laga Dy black Friday ma plzzz,Neutral
Acha hua hum nahi gae.,Negative
ap ne theek kaha tha.,Positive
tum bhi gayi thi,Neutral
Nh mera dimag kharab nh ha,Neutral
Bus ap toh koi mouqa mat choryega,Neutral
sale se leya kya ye tu batao,Neutral
Lahore mei to kabhi ni lagyi flat 50% sale,Negative
hum b apni biwi ya maa ko gift kr k khush kr sakyn,Neutral
Kya ab Lahore main nai lgay gi sale 50 % off wali,Neutral
Kyu bhai aghanoor abaya ali khawteen kyu nahi pahan sakti,Neutral
zarori nahi acha brand sirf bay parda aurat hi pahny,Neutral
har cheez ka haq sub ko hai lakin apni haad mai,Positive
yahan tak kisi kay mutaliq comments bhi apni haad mai rah kar dainy cahian,Neutral
yaar kon log hen ye kaha se aey hen jo hr sale me dhama chokri machany pohch jaty hn,Negative
Sach me yar mental log kg rhy hen,Negative
.koi thora sa b izzat dar insan esi sale mn jana pasand nhi krta,Negative
Plz hyd m bhi ap branch kholi,Neutral
Pata nahi humain agha noor ki shirt kab mile gi,Neutral
Nahi yar normally bhi.jab bhi jao faltoo stock hota hai.,Negative
achi wali sirf insta p nazar aati hn,Positive
Astagfirullah I think jo hum pehn ke jaenge wo b phat e jate,Negative
Akhir ye kon c aurten hain bilkul farigh hain had hogae,Negative
heck jasy free mai mil rhy dress lolz,Neutral
ISL waloon ko b thnku khnay ka mooqa dain,Neutral
Keenu wallet se 40% cash back kabse start horha hai agha noor pe?,Neutral
aj jana a,Neutral
mere liye b kuch le k rkhlo,Neutral
Yr mein ase he leke rakh lungi apke liye,Neutral
nai bhabhi main aisi sale mai nai jati,Neutral
ap ayengi tou hum leke jaenge apko khud apki willing dekhenge kitni ha Kia lasakti Hain ap,Neutral
yr hum apke liay wese hi lelenge,Neutral
yahan tu chle jana 2-3 kurtiyan lelena mre lie bh,Neutral
Bhaiii ham rush k dar sai nai jatayy...,Negative
boht himmat chahiyee sale Mai janay ki,Neutral
18 ko to lucky one gya.. ek trf sana safinaz nd ab agha noor,Neutral
pari ruk ja.. tu ne ghr pr rhna hai,Neutral
Pta chla tu wapis hi nai ai.. antion ne kuchal dia tmhen,Negative
Kuch tu aisi terms n conditions apply honi chiya jo koi shareef insan bhi kuch purchase kr sakhy,Neutral
Bilkul sahi kaha,Positive
Exactly humaray bhi kuch arman hai tameez se kuch shopping karain,Neutral
sareefon ke leye sale thuri laghti hai,Negative
Realy kese purchase karain,Neutral
Peshawar mein bhi kappray pehannay ka revaaj sadyoon say chala aa raha hai..,Neutral
wahaan bhi aik outlet khol lain gay tu adam ki nasal per ahsaan-e-azeem ho gaa....shukriya,Neutral
Pta nhi kon khush naseeb hoty hain jinko suit mil jty hn sale say,Neutral
Bas jab hum yahan hotay hai tabhi yea hota,Neutral
hum yehan reh k bhi nahi pohanchte,Neutral
phoncho phir luckyone mall,Neutral
pr hum Shareef Log Andr Ghus Nahi Skte,Negative
aby ye humko milky pagal banary,Negative
Ajao sab mil k dhakae khaye,Negative
me akeli he q dukhi hoon,Neutral
g mai ye bhe dekh chuki hon,Neutral
"agay bta bhe chuki hon.. phr bhe dil dukhta hai, jalta hai",Negative
kash mai or ap vahan hotay!! lut parade machni the,Neutral
"wam ko pagal bana na bund karden,",Negative
aurten aisi hojaten hain jaisay kabhi naseeb he na hoa hai kuch,Negative
tab bhi kuch behter rahay ga,Positive
yahann tu ik hi lady 25 or 30 shirts lay jati ha,Negative
Mall jis area mein hy or waha ki gentry ...no manners tamasha bnwanay ka brands ko kio shoq hy,Negative
atleast mai to nahe jati aesi sales per.....,Negative
baqi ka mai kuch nahe keh saktii,Neutral
Online buying ka system nai hainagha noor pe.ek or pagal pan,Negative
Hum se na ho paweye ga,Negative
Behn kon jaye itni bheer ma,Negative
Ab to lagta ha aik do pillars bhi log tor denge lucky one ke,Negative
ahle mere liay ak tunnel bnao q k 15 minute ka rasta h do ghnty lag jaty hn,Negative
sana safinaz b p bhi h flat 7o,Neutral
Ajao sath chaltey,Neutral
Yr rushhh bhtt hota hai,Negative
kal to phir confirm hum lucky nahi jasaktay.,Negative
Bht hi tamasha lagaya hua hai in logo nay,Negative
sale karni toh online karo takay atleast tamasha toh na banainn yeh bdtmeez aurtain,Negative
Not fair Lahore ma kb ho ge sale woh be 50 percent,Negative
Isbar chaltay hain,Neutral
irfan ke taraf se gft lelengay,Neutral
phr tou mil gae humko,Neutral
Bus shart yeh hai k irfan ander jaker lekar aye,Neutral
Plz Lahore mein bhi Karo na 50% sale n plz,Neutral
Behen aap sasti charas ka Nasha karti hain kia,Negative
abi krti hun......,Neutral
Maryam ap tension na lain mere pass Peshawar k lie stock hai apko chaie,Neutral
yeh flagships store ki grand opening yahan kiu nae hoti,Negative
Ap Jain na,Neutral
Nahi tere Sath jao ge zeada se pase lana,Neutral
Chul bhag..,Negative
Tubaa hai asi sale k lariya hogi,Negative
guard ne larki ko kitna misbehaviour kiya sharam ani chayeh ap log ko,Negative
Ufff kaisay jaye inn jahil ladiez kay beech mai,Negative
hum tuo bus dekh kay hi darr gaye,Negative
shukr kro hm nae gaye warna kia hal hota,Neutral
Yeh to cheating ha,Negative
ahan nayi shop khulti flat disscount bus wahan e kyu milta.. baqi sub kya munh dykhyn,Negative
khi hai....lucky one mall mai buhat sales on hain.,Neutral
Ye sari online seller hti Hy .,Neutral
pagalo ki tarha Chen kr lot mar kr suit liye gi 2000 ka or 5000 k sale karye gi,Negative
pta nhi kun bewaqof Hai Jo online aurto see lity Hai,Negative
un logo Ni ye haal Kya Hai. Hum jaisay Shareef log nhi li skty hai,Negative
Kch ladies ase ate h k bs khte h pora rack hmra h,Negative
dkne b nhe dge,Negative
ghtya n nechepan p utar ate h,Negative
allah hidyat de sale k peche apne tarbiat btate h,Neutral
yahan Jo hone Wala hai us ki missal history main nahi miley GI...,Neutral
Plz outlets k bajaye online sale rahk liya karen tu hum jese log b kch le saken,Neutral
Outlets b ja kar fighting nai kar sakty,Negative
lahore waly sale na sahi wresling dekh k enjoy kr lain gy,Neutral
Bas ab khaadi k baad yahan pr bhookon ki tarah sab aurton ne jana hai...,Negative
Matlab ab sari badtehzeebi agha noor pe hogi,Negative
ap logon ko sari outlets pe aiksath sale start krni chahye,Neutral
dil jala k rakh krdege ye log,Negative
ya sb ko kya ho gya karachi walo par etne nawazshain,Neutral
Yeh mall new bna hai shyd,Neutral
Aur kch nai reh gaya ab,Neutral
sab achi sales,Positive
Ye chali bhi jae gi,Neutral
Haan andaaza hai mujhe,Neutral
is bar jana hai haa..,Neutral
lee to jaye pehle,Neutral
males ko bhksh den ap log khub durgat bnti h,Negative
jang kon laryga,Neutral
Kia yhan s hm online sale sa fyda utha skty h k nhi,Neutral
jana boliye ga nhi yahan bhi,Neutral
fajr se jaa k beth jaunga lucky one k bahr,Neutral
Mujhe bhi kuch mungwana ha zra,Neutral
kahan se agha noor ya kaheen aur se,Neutral
ap to jaien g hi na,Neutral
koi saath jaanay wala ho bs,Neutral
Ap akele jaien na ksi ko sth lay gay to masla ho ga na ap k liye,Neutral
karachi ka scene bna len ap phr,Neutral
To ne kuch lena ha,Neutral
Agr kuch acha hua tau lay laina,Neutral
OK agar mila to summer ki sall ho ga,Neutral
phir rat kaleeee kareyn,Negative
waise maza aya tha,Positive
Wapas zinda ana,Neutral
Xhalo bhei jahil awam tayyar hojao ab phir say,Negative
Tm bht sai time py khi ari ho,Neutral
Yaad na krao mjay,Neutral
mojein lg gae apki to..,Positive
ZALALAAAAAAT wali saleess,Negative
abh kia karun,Neutral
tabahi machne wali hai,Negative
Buhut buri waaali,Negative
Mera b khayal kerna,Neutral
another wehashi mela,Neutral
mere liye bhi le àna,Neutral
mtlb kya luckyone na ho gya tamasha ho gya,Negative
phr saari aunties Pagal hojaen gi,Negative
Adhi to gate pe pohnch gai hon g,Neutral
Is sale mai wahan jana kisi jahad say kam nahi hoga,Neutral
Islmbad ma bi lagy gi sale,Neutral
Sana safinaz per 60flat chal raha abi,Neutral
Unstitched mein achi variety ha,Positive
No wayyyy koi himmat nahi,Negative
Kpk mai Imran khan outlet open kare ga,Neutral
Reseller auntie's ny Kal phr tamasha dalna hai,Negative
lhr me b hone chahiye,Neutral
8th ko hy sale lucky one mn?,Neutral
Agha noor kaya ye sale online bhi hai,Neutral
Y sale 50 off online b h kia online shoping kr skte hn kia plz reply fast,Neutral
Sana safinaz aur agha noor Logon ko ab larwayenge,Negative
Kitny ka hoga off ph,Neutral
Lucky mall ko bakhsh do,Neutral
Lhr sale lage hy,Neutral
vohi pagal pan hoga jo khaadi main hoa tha,Negative
yaar ab Chalo.,Neutral
Had hogai ab to,Neutral
khaadi k baad Agha Noor ka bycott,Negative
kitne din tk hy sail ya bs 1 day thi?,Neutral
Subha 9 bje,Neutral
sialkot main kab hoga,Neutral
ye store kis city me ha,Neutral
Darwazay tootne wale hain bs,Negative
chalo chaltay hain..koi mushkil bt nai hai,Neutral
sania k through mngwa dn,Neutral
meray liay kuch Lelo,Neutral
Main to kabhi na jaoon.pagal horahe hote hain loag wahan,Negative
ek baar try to karo,Neutral
Tum saath chalo,Neutral
soch rahi hn thory dhakky khany chali he jati hn kal,Neutral
betho ghar me dono me jao gi,Neutral
Main badtamezi p aye to u knw na..,Neutral
Main badtamezi p aye to u knw na..,Negative
ticket katao line banao,Neutral
comments Bui prh leti tag krnay sy phlay,Neutral
i think karachi mai aisa nhi hoga.,Neutral
.karachi k log itny brand concious nhi hain.,Negative
na he sale pee toot.ty dekha h unko,Neutral
Wah kia khnay apkay gayan k,Positive
Best way is that jany se phly fb khol k ink page pe surat haal check.kr lain,Neutral
Sialkot ma flat q nai tha hmmm hum sootalay ha,Negative
ab to sale ka sun ke khushi bhe nhn hoti,Negative
Kia pair rakhne ki jaga mile gi,Neutral
Humny kia tha apk sth ek chota sa mazaq,Negative
Tu karde mujhe block kia hy,Neutral
apko kitne ka araha hy,Neutral
Mery pas add thori hyjo tag hoga,Neutral
Blue nae ferozi hy,Neutral
tu ja rahi hai,Neutral
Yaaaar hadh ka rush hogaa,Negative
"Haan agha noor favorite, saari moti auntiyon k neeche ajaaogi",Negative
Yar bht hi mushkil kaam ha,Negative
Lucky mall ha b to bht dooor,Neutral
Ghoso gay kaisay??? Khaadi opening ka scene dekha tha?,Neutral
meray liyah lay aain gi,Neutral
bilkul hum jaengy toh zarur le aengy,Neutral
boht himmat hay bhai,Positive
koie Sath jany ky liay tyar he nhi,Negative
Na kr mene a bhe jana he,Neutral
Wo to ab Ana hi ha,Neutral
bhut aqal mand ho gai ho,Neutral
